日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019/9/27,'000905,中证500,5005.6299,5033.185,4974.0324,4974.0324,4970.2403,35.3896,0.712,74329833,77773539941
2019/9/26,'000905,中证500,4970.2403,5108.8037,4970.2403,5099.5177,5087.0091,-116.7688,-2.2954,94670752,1.01E+11
2019/9/25,'000905,中证500,5087.0091,5162.1513,5087.0091,5162.1513,5180.7418,-93.7327,-1.8093,92202920,1.04E+11
2019/9/24,'000905,中证500,5180.7418,5237.4102,5159.3315,5168.1222,5171.484,9.2578,0.179,94527996,1.09E+11
2019/9/23,'000905,中证500,5171.484,5192.8838,5124.7981,5192.8838,5204.4848,-33.0008,-0.6341,94657680,1.04E+11
2019/9/20,'000905,中证500,5204.4848,5220.2351,5180.0778,5198.7279,5191.6687,12.8161,0.2469,94186438,1.04E+11
2019/9/19,'000905,中证500,5191.6687,5191.6687,5126.1532,5150.4983,5141.0381,50.6306,0.9848,88129311,92724183286
2019/9/18,'000905,中证500,5141.0381,5163.8104,5119.6137,5148.0631,5140.4502,0.5879,0.0114,89555999,92044125713
2019/9/17,'000905,中证500,5140.4502,5237.5592,5118.2077,5237.5592,5250.3398,-109.8896,-2.093,114771435,1.14E+11
2019/9/16,'000905,中证500,5250.3398,5279.5896,5228.29,5263.3007,5242.6115,7.7283,0.1474,114136339,1.17E+11
2019/9/12,'000905,中证500,5242.6115,5255.7851,5197.5696,5230.2944,5217.2913,25.3202,0.4853,96044226,99874269568
2019/9/11,'000905,中证500,5217.2913,5273.9678,5206.9728,5262.4946,5245.305,-28.0137,-0.5341,115603941,1.19E+11
2019/9/10,'000905,中证500,5245.305,5264.3276,5212.5251,5264.3276,5263.4594,-18.1544,-0.3449,131111547,1.38E+11
2019/9/9,'000905,中证500,5263.4594,5263.4594,5171.8514,5202.7058,5154.6378,108.8216,2.1111,132941927,1.40E+11
2019/9/6,'000905,中证500,5154.6378,5167.4828,5111.7349,5152.185,5138.4051,16.2327,0.3159,112798576,1.23E+11
2019/9/5,'000905,中证500,5138.4051,5208.9999,5119.4281,5119.5739,5093.2662,45.1389,0.8862,158947369,1.61E+11
2019/9/4,'000905,中证500,5093.2662,5093.2662,5027.6672,5036.5238,5044.1805,49.0857,0.9731,122499224,1.23E+11
2019/9/3,'000905,中证500,5044.1805,5044.1805,4999.8872,5019.4049,5008.2958,35.8847,0.7165,109090449,1.15E+11
2019/9/2,'000905,中证500,5008.2958,5020.2648,4890.2253,4894.0496,4886.494,121.8018,2.4926,108292930,1.09E+11
2019/8/30,'000905,中证500,4886.494,4975.9723,4862.5821,4963.2785,4934.1838,-47.6898,-0.9665,102451634,1.08E+11
2019/8/29,'000905,中证500,4934.1838,4954.9574,4912.22,4937.5909,4928.1935,5.9903,0.1216,96817996,94062432252
2019/8/28,'000905,中证500,4928.1935,4948.0177,4910.6033,4929.8939,4936.1238,-7.9303,-0.1607,98994293,92168539739
2019/8/27,'000905,中证500,4936.1238,4976.5805,4878.2891,4878.2891,4855.4584,80.6654,1.6613,108192637,1.05E+11
2019/8/26,'000905,中证500,4855.4584,4867.3032,4793.8441,4799.4831,4887.9024,-32.444,-0.6638,88453144,86780252777
2019/8/23,'000905,中证500,4887.9024,4902.7831,4861.2002,4888.5329,4887.9142,-0.0118,-0.0002,82502528,81178885785
2019/8/22,'000905,中证500,4887.9142,4896.5752,4851.9692,4894.3625,4882.7213,5.1929,0.1064,82238110,82031364628
2019/8/21,'000905,中证500,4882.7213,4896.2914,4859.328,4865.7174,4872.6061,10.1152,0.2076,84940790,83121773981
2019/8/20,'000905,中证500,4872.6061,4912.9917,4864.8159,4878.6745,4875.0363,-2.4302,-0.0498,100202293,94825269893
2019/8/19,'000905,中证500,4875.0363,4875.0363,4765.0581,4765.0581,4722.6625,152.3738,3.2264,106580926,1.05E+11
