日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019/9/27,'399001,深证成指,9548.9601,9574.5027,9467.1534,9470.535,9464.8358,84.1243,0.8888,9276014916,1.22E+11
2019/9/26,'399001,深证成指,9464.8358,9707.9227,9464.8358,9698.281,9671.0577,-206.2219,-2.1324,12062669965,1.61E+11
2019/9/25,'399001,深证成指,9671.0577,9768.3805,9656.0494,9768.3805,9811.3766,-140.3189,-1.4302,12233004550,1.62E+11
2019/9/24,'399001,深证成指,9811.3766,9896.1807,9761.0339,9783.3899,9781.14,30.2366,0.3091,12592197666,1.76E+11
2019/9/23,'399001,深证成指,9781.14,9853.4727,9703.6621,9853.4727,9881.249,-100.109,-1.0131,12050818166,1.58E+11
2019/9/20,'399001,深证成指,9881.249,9903.6874,9832.3948,9873.9425,9852.196,29.053,0.2949,12213985754,1.64E+11
2019/9/19,'399001,深证成指,9852.196,9852.196,9733.9666,9786.3989,9753.3113,98.8847,1.0139,11260560973,1.45E+11
2019/9/18,'399001,深证成指,9753.3113,9785.617,9701.6373,9747.9816,9722.7974,30.5139,0.3138,10478350149,1.37E+11
2019/9/17,'399001,深证成指,9722.7974,9890.5845,9684.1477,9890.5845,9918.0921,-195.2947,-1.9691,13457001524,1.64E+11
2019/9/16,'399001,深证成指,9918.0921,9962.1538,9877.1107,9952.3255,9919.8038,-1.7117,-0.0173,12960873680,1.64E+11
2019/9/12,'399001,深证成指,9919.8038,9941.1693,9837.2733,9886.2487,9853.7236,66.0802,0.6706,11970857101,1.51E+11
2019/9/11,'399001,深证成指,9853.7236,10000.2518,9835.9727,9985.1142,9964.9263,-111.2027,-1.1159,15122923130,1.91E+11
2019/9/10,'399001,深证成指,9964.9263,10005.8062,9903.4193,10005.8062,10001.9308,-37.0045,-0.37,16575353032,2.07E+11
2019/9/9,'399001,深证成指,10001.9308,10001.9308,9853.6877,9907.1313,9823.4188,178.512,1.8172,17812558146,2.24E+11
2019/9/6,'399001,深证成指,9823.4188,9837.2296,9742.2745,9829.9668,9783.504,39.9148,0.408,14414143997,1.91E+11
2019/9/5,'399001,深证成指,9783.504,9900.7599,9751.9532,9752.3433,9700.3192,83.1848,0.8575,19880970429,2.40E+11
2019/9/4,'399001,深证成指,9700.3192,9700.3192,9590.9778,9612.6247,9633.6857,66.6335,0.6917,14965082971,1.86E+11
2019/9/3,'399001,深证成指,9633.6857,9633.6857,9547.7648,9591.4245,9569.4699,64.2158,0.671,13418054010,1.75E+11
2019/9/2,'399001,深证成指,9569.4699,9586.5214,9389.4808,9393.0263,9365.6764,203.7935,2.176,13090096430,1.72E+11
2019/8/30,'399001,深证成指,9365.6764,9492.0415,9310.1123,9458.3867,9398.4702,-32.7938,-0.3489,12545136633,1.64E+11
2019/8/29,'399001,深证成指,9398.4702,9440.6654,9363.1543,9428.9975,9414.0022,-15.532,-0.165,11235262243,1.37E+11
2019/8/28,'399001,深证成指,9414.0022,9453.7552,9375.5676,9449.3996,9443.1762,-29.174,-0.3089,12101863133,1.46E+11
2019/8/27,'399001,深证成指,9443.1762,9517.6538,9333.1048,9333.1048,9270.3891,172.7871,1.8639,14581856479,1.80E+11
2019/8/26,'399001,深证成指,9270.3891,9298.1028,9173.0144,9181.7104,9362.5488,-92.1597,-0.9843,11713994307,1.45E+11
2019/8/23,'399001,深证成指,9362.5488,9397.7585,9311.2584,9356.9991,9350.557,11.9918,0.1282,11205303827,1.41E+11
2019/8/22,'399001,深证成指,9350.557,9363.7931,9282.7605,9350.6456,9322.754,27.803,0.2982,11637619960,1.38E+11
2019/8/21,'399001,深证成指,9322.754,9361.7412,9287.3113,9304.5237,9328.7292,-5.9752,-0.0641,11277857051,1.38E+11
